lat,lon,alt,acc,speed,accelx,accely,accelz,gyrox,gyroy,gyroz,azimuth,pitch,roll
0.0,0.0,0.0,0.0,0.0,-0.4464745,0.12164542,-0.11567045,-0.43343654,0.69341433,0.21347262,0.9065,-0.8444,-0.1311
0.0,0.0,0.0,0.0,0.0,-0.32006276,0.10142784,-0.38464335,-0.43343654,0.69341433,0.21347262,0.9065,-0.8444,-0.1311
0.0,0.0,0.0,0.0,0.0,-0.32006276,0.10142784,-0.38464335,-0.43343654,0.69341433,0.21347262,0.8991,-0.8444,-0.1311
0.0,0.0,0.0,0.0,0.0,-0.32006276,0.10142784,-0.38464335,-0.43343654,0.69341433,0.21347262,0.5946,-0.9232,-0.3999
0.0,0.0,0.0,0.0,0.0,-0.32006276,0.10142784,-0.38464335,0.09224784,-0.14631048,-0.10895918,0.5946,-0.9232,-0.3999
0.0,0.0,0.0,0.0,0.0,0.71336925,0.038408298,0.017322415,0.09224784,-0.14631048,-0.10895918,0.5946,-0.9232,-0.3999
0.0,0.0,0.0,0.0,0.0,0.71336925,0.038408298,0.017322415,0.09224784,-0.14631048,-0.10895918,0.5902,-0.9232,-0.3999
0.0,0.0,0.0,0.0,0.0,0.71336925,0.038408298,0.017322415,0.09224784,-0.14631048,-0.10895918,1.0081,-0.8253,-0.0105
0.0,0.0,0.0,0.0,0.0,0.71336925,0.038408298,0.017322415,-0.18685304,-0.1369882,-0.41153523,1.0081,-0.8253,-0.0105
0.0,0.0,0.0,0.0,0.0,0.66194785,0.3073605,-0.25177512,-0.18685304,-0.1369882,-0.41153523,1.0081,-0.8253,-0.0105
0.0,0.0,0.0,0.0,0.0,0.66194785,0.3073605,-0.25177512,-0.18685304,-0.1369882,-0.41153523,0.9989,-0.8253,-0.0105
0.0,0.0,0.0,0.0,0.0,0.66194785,0.3073605,-0.25177512,-0.02247889,0.046217527,-0.044994116,0.9989,-0.8253,-0.0105
0.0,0.0,0.0,0.0,0.0,-0.48653394,-0.052897118,0.284569,-0.02247889,0.046217527,-0.044994116,0.9989,-0.8253,-0.0105
0.0,0.0,0.0,0.0,0.0,-0.48653394,-0.052897118,0.284569,-0.02247889,0.046217527,-0.044994116,1.1588,-0.6245,0.1001
0.0,0.0,0.0,0.0,0.0,-0.48653394,-0.052897118,0.284569,-0.02247889,0.046217527,-0.044994116,1.14,-0.6245,0.1001
0.0,0.0,0.0,0.0,0.0,-0.48653394,-0.052897118,0.284569,0.14121032,0.039174654,0.06348782,1.14,-0.6245,0.1001
0.0,0.0,0.0,0.0,0.0,-0.42551503,-0.3644397,0.6659047,0.14121032,0.039174654,0.06348782,1.14,-0.6245,0.1001
0.0,0.0,0.0,0.0,0.0,-0.42551503,-0.3644397,0.6659047,0.14121032,0.039174654,0.06348782,1.1003,-0.669,0.0677
0.0,0.0,0.0,0.0,0.0,-0.42551503,-0.3644397,0.6659047,0.14121032,0.039174654,0.06348782,1.0784,-0.669,0.0677
0.0,0.0,0.0,0.0,0.0,-0.42551503,-0.3644397,0.6659047,0.0575173,-0.052230142,0.022208463,1.0784,-0.669,0.0677
0.0,0.0,0.0,0.0,0.0,-0.045218557,0.014271618,0.1386529,0.0575173,-0.052230142,0.022208463,1.0784,-0.669,0.0677
0.0,0.0,0.0,0.0,0.0,-0.045218557,0.014271618,0.1386529,0.0575173,-0.052230142,0.022208463,1.0053,-0.7251,-7.0E-4
0.0,0.0,0.0,0.0,0.0,-0.045218557,0.014271618,0.1386529,0.0575173,-0.052230142,0.022208463,0.9951,-0.7251,-7.0E-4
0.0,0.0,0.0,0.0,0.0,-0.045218557,0.014271618,0.1386529,0.026769694,-0.059335273,-0.008425672,0.9951,-0.7251,-7.0E-4
0.0,0.0,0.0,0.0,0.0,-0.045218557,0.014271618,0.1386529,0.026769694,-0.059335273,-0.008425672,0.9908,-0.7114,-0.0115
0.0,0.0,0.0,0.0,0.0,0.14471802,0.115151845,-0.10136381,0.026769694,-0.059335273,-0.008425672,0.9908,-0.7114,-0.0115
0.0,0.0,0.0,0.0,0.0,0.14471802,0.115151845,-0.10136381,0.026769694,-0.059335273,-0.008425672,0.9807,-0.7114,-0.0115
0.0,0.0,0.0,0.0,0.0,0.14471802,0.115151845,-0.10136381,0.019852305,0.009003192,0.04648965,0.9807,-0.7114,-0.0115
0.0,0.0,0.0,0.0,0.0,0.0393479,-0.09264313,-0.08344338,0.019852305,0.009003192,0.04648965,0.9807,-0.7114,-0.0115
0.0,0.0,0.0,0.0,0.0,0.0393479,-0.09264313,-0.08344338,0.019852305,0.009003192,0.04648965,0.9886,-0.7201,0.0017
0.0,0.0,0.0,0.0,0.0,0.0393479,-0.09264313,-0.08344338,0.019852305,0.009003192,0.04648965,0.9738,-0.7201,0.0017
0.0,0.0,0.0,0.0,0.0,0.0393479,-0.09264313,-0.08344338,0.027878707,0.014330325,0.033836436,0.9738,-0.7201,0.0017
0.0,0.0,0.0,0.0,0.0,-0.05438443,-0.08669687,-0.086579435,0.027878707,0.014330325,0.033836436,0.9738,-0.7201,0.0017
0.0,0.0,0.0,0.0,0.0,-0.05438443,-0.08669687,-0.086579435,0.027878707,0.014330325,0.033836436,0.9541,-0.7767,-0.0033
0.0,0.0,0.0,0.0,0.0,-0.05438443,-0.08669687,-0.086579435,0.027878707,0.014330325,0.033836436,0.953,-0.7767,-0.0033
0.0,0.0,0.0,0.0,0.0,-0.05438443,-0.08669687,-0.086579435,-0.03698276,-0.07121448,0.067658454,0.953,-0.7767,-0.0033
0.0,0.0,0.0,0.0,0.0,-0.05438443,-0.08669687,-0.086579435,-0.03698276,-0.07121448,0.067658454,0.8539,-0.7792,-0.1181
